Sample in Buffer,Sample in Window,TRIGGER,ila_out_r[15:0],ila_out_g[15:0],ila_out_b[15:0],capture_active_r,capture_active_g,capture_active_b,final_output_size_r[15:0],final_output_size_g[15:0],final_output_size_b[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,UNSIGNED,UNSIGNED,UNSIGNED
201,201,0,166,222,96,1,1,1,250,194,208
202,202,0,154,225,411,1,1,1,250,194,208
203,203,0,150,213,246,1,1,1,250,194,208
204,204,0,149,283,246,1,1,1,250,194,208
205,205,0,187,266,239,1,1,1,250,194,208
206,206,0,151,266,252,1,1,1,250,194,208
207,207,0,142,283,253,1,1,1,250,194,208
208,208,0,147,220,414,1,1,1,250,194,208
209,209,0,150,219,385,1,1,1,250,194,208
210,210,0,169,235,232,1,1,1,250,194,208
211,211,0,151,273,172,1,1,1,250,194,208
212,212,0,165,215,170,1,1,1,250,194,208
213,213,0,182,221,182,1,1,1,250,194,208
214,214,0,125,226,248,1,1,1,250,194,208
215,215,0,30,101,246,1,1,1,250,194,208
216,216,0,59,129,250,1,1,1,250,194,208
217,217,0,45,252,247,1,1,1,250,194,208
218,218,0,185,112,358,1,1,1,250,194,208
219,219,0,178,95,357,1,1,1,250,194,208
220,220,0,144,223,372,1,1,1,250,194,208
221,221,0,202,218,419,1,1,1,250,194,208
222,222,0,153,239,357,1,1,1,250,194,208
223,223,0,160,220,411,1,1,1,250,194,208
224,224,0,177,220,386,1,1,1,250,194,208
225,225,0,197,236,0,1,1,0,250,194,208
226,226,0,155,219,70,1,1,1,250,194,208
227,227,0,156,220,69,1,1,1,250,194,208
228,228,0,181,217,69,1,1,1,250,194,208
229,229,0,181,212,68,1,1,1,250,194,208
230,230,0,178,100,69,1,1,1,250,194,208
231,231,0,156,41,70,1,1,1,250,194,208
232,232,0,101,63,71,1,1,1,250,194,208
233,233,0,88,31,256,1,1,1,250,194,208
234,234,0,113,41,257,1,1,1,250,194,208
235,235,0,184,40,69,1,1,1,250,194,208
236,236,0,180,108,71,1,1,1,250,194,208
237,237,0,153,211,79,1,1,1,250,194,208
238,238,0,183,219,76,1,1,1,250,194,208
239,239,0,141,212,68,1,1,1,250,194,208
240,240,0,156,229,72,1,1,1,250,194,208
241,241,0,437,225,77,1,1,1,250,194,208
242,242,0,147,294,69,1,1,1,250,194,208
243,243,0,154,219,60,1,1,1,250,194,208
244,244,0,146,213,69,1,1,1,250,194,208
245,245,0,169,53,77,1,1,1,250,194,208
246,246,0,162,40,73,1,1,1,250,194,208
247,247,0,186,54,257,1,1,1,250,194,208
248,248,0,157,32,256,1,1,1,250,194,208
249,249,0,144,49,66,1,1,1,250,194,208
250,250,0,161,63,65,1,1,1,250,194,208
251,251,0,163,140,66,1,1,1,250,194,208
252,252,0,160,235,68,1,1,1,250,194,208
253,253,0,160,221,68,1,1,1,250,194,208
254,254,0,0,282,281,0,1,1,250,194,208
255,255,0,19,254,281,1,1,1,250,194,208
256,256,0,15,255,282,1,1,1,250,194,208
257,257,0,16,255,259,1,1,1,250,194,208
258,258,0,18,254,70,1,1,1,250,194,208
259,259,0,19,30,77,1,1,1,250,194,208
260,260,0,20,40,74,1,1,1,250,194,208
261,261,0,19,59,73,1,1,1,250,194,208
262,262,0,16,34,71,1,1,1,250,194,208
263,263,0,15,28,67,1,1,1,250,194,208
264,264,0,14,138,68,1,1,1,250,194,208
265,265,0,258,44,71,1,1,1,250,194,208
266,266,0,20,109,63,1,1,1,250,194,208
267,267,0,30,255,78,1,1,1,250,194,208
268,268,0,24,252,57,1,1,1,250,194,208
269,269,0,24,252,63,1,1,1,250,194,208
270,270,0,22,255,101,1,1,1,250,194,208
271,271,0,26,253,75,1,1,1,250,194,208
272,272,0,31,352,70,1,1,1,250,194,208
273,273,0,46,255,73,1,1,1,250,194,208
274,274,0,50,37,72,1,1,1,250,194,208
275,275,0,44,63,303,1,1,1,250,194,208
276,276,0,32,92,73,1,1,1,250,194,208
277,277,0,23,35,68,1,1,1,250,194,208
278,278,0,15,68,67,1,1,1,250,194,208
279,279,0,25,73,95,1,1,1,250,194,208
280,280,0,34,52,101,1,1,1,250,194,208
281,281,0,36,67,44,1,1,1,250,194,208
282,282,0,268,351,72,1,1,1,250,194,208
283,283,0,18,353,68,1,1,1,250,194,208
284,284,0,16,378,296,1,1,1,250,194,208
285,285,0,60,255,67,1,1,1,250,194,208
286,286,0,17,95,106,1,1,1,250,194,208
287,287,0,23,35,91,1,1,1,250,194,208
288,288,0,19,34,81,1,1,1,250,194,208
289,289,0,18,129,116,1,1,1,250,194,208
290,290,0,17,50,86,1,1,1,250,194,208
291,291,0,17,50,62,1,1,1,250,194,208
292,292,0,14,63,86,1,1,1,250,194,208
293,293,0,23,100,96,1,1,1,250,194,208
294,294,0,32,368,72,1,1,1,250,194,208
295,295,0,33,379,66,1,1,1,250,194,208
296,296,0,31,352,79,1,1,1,250,194,208
297,297,0,34,227,71,1,1,1,250,194,208
298,298,0,41,146,307,1,1,1,250,194,208
299,299,0,52,65,66,1,1,1,250,194,208
300,300,0,19,56,50,1,1,1,250,194,208
301,301,0,41,59,49,1,1,1,250,194,208
302,302,0,54,32,69,1,1,1,250,194,208
303,303,0,55,35,39,1,1,1,250,194,208
304,304,0,68,251,48,1,1,1,250,194,208
305,305,0,85,368,48,1,1,1,250,194,208
306,306,0,30,351,97,1,1,1,250,194,208
307,307,0,18,380,70,1,1,1,250,194,208
308,308,0,25,353,62,1,1,1,250,194,208
309,309,0,24,44,66,1,1,1,250,194,208
310,310,0,23,64,47,1,1,1,250,194,208
311,311,0,310,238,109,1,1,1,250,194,208
312,312,0,20,254,88,1,1,1,250,194,208
313,313,0,21,365,93,1,1,1,250,194,208
314,314,0,63,390,97,1,1,1,250,194,208
315,315,0,66,403,83,1,1,1,250,194,208
316,316,0,118,226,59,1,1,1,250,194,208
317,317,0,30,51,47,1,1,1,250,194,208
318,318,0,20,239,60,1,1,1,250,194,208
319,319,0,39,255,40,1,1,1,250,194,208
320,320,0,68,247,56,1,1,1,250,194,208
321,321,0,84,251,70,1,1,1,250,194,208
322,322,0,237,253,118,1,1,1,250,194,208
323,323,0,232,254,42,1,1,1,250,194,208
324,324,0,204,249,55,1,1,1,250,194,208
325,325,0,234,353,107,1,1,1,250,194,208
326,326,0,231,390,74,1,1,1,250,194,208
327,327,0,74,352,250,1,1,1,250,194,208
328,328,0,56,38,251,1,1,1,250,194,208
329,329,0,143,210,252,1,1,1,250,194,208
330,330,0,61,219,251,1,1,1,250,194,208
331,331,0,62,215,38,1,1,1,250,194,208
332,332,0,130,254,47,1,1,1,250,194,208
333,333,0,56,351,66,1,1,1,250,194,208
334,334,0,59,250,42,1,1,1,250,194,208
335,335,0,51,252,36,1,1,1,250,194,208
336,336,0,25,247,140,1,1,1,250,194,208
337,337,0,214,422,51,1,1,1,250,194,208
338,338,0,233,352,113,1,1,1,250,194,208
339,339,0,231,250,251,1,1,1,250,194,208
340,340,0,236,235,237,1,1,1,250,194,208
341,341,0,236,234,239,1,1,1,250,194,208
342,342,0,237,237,250,1,1,1,250,194,208
343,343,0,215,252,249,1,1,1,250,194,208
344,344,0,21,251,251,1,1,1,250,194,208
345,345,0,56,254,251,1,1,1,250,194,208
346,346,0,27,400,253,1,1,1,250,194,208
347,347,0,92,379,45,1,1,1,250,194,208
348,348,0,79,428,67,1,1,1,250,194,208
349,349,0,48,366,87,1,1,1,250,194,208
350,350,0,53,254,43,1,1,1,250,194,208
351,351,0,61,367,75,1,1,1,250,194,208
352,352,0,37,352,79,1,1,1,250,194,208
353,353,0,234,402,58,1,1,1,250,194,208
354,354,0,342,0,73,1,0,1,250,194,208
355,355,0,236,210,252,1,1,1,250,194,208
356,356,0,238,209,385,1,1,1,250,194,208
357,357,0,239,209,251,1,1,1,250,194,208
358,358,0,237,210,357,1,1,1,250,194,208
359,359,0,116,259,385,1,1,1,250,194,208
360,360,0,63,256,100,1,1,1,250,194,208
361,361,0,44,257,42,1,1,1,250,194,208
362,362,0,18,258,42,1,1,1,250,194,208
363,363,0,147,210,131,1,1,1,250,194,208
364,364,0,158,212,56,1,1,1,250,194,208
365,365,0,162,211,57,1,1,1,250,194,208
366,366,0,177,266,69,1,1,1,250,194,208
367,367,0,235,212,105,1,1,1,250,194,208
368,368,0,234,213,385,1,1,1,250,194,208
369,369,0,238,217,253,1,1,1,250,194,208
370,370,0,341,217,387,1,1,1,250,194,208
371,371,0,232,216,388,1,1,1,250,194,208
372,372,0,237,213,225,1,1,1,250,194,208
373,373,0,243,211,149,1,1,1,250,194,208
374,374,0,147,209,72,1,1,1,250,194,208
375,375,0,137,212,64,1,1,1,250,194,208
376,376,0,134,214,70,1,1,1,250,194,208
377,377,0,153,214,40,1,1,1,250,194,208
